Date,Time,OpenBid,HighBid,LowBid,CloseBid,OpenAsk,HighAsk,LowAsk,CloseAsk,TotalTicks
6/3/2007,21:00:00,1.34456,1.34986,1.34316,1.34886,1.34474,1.35004,1.34334,1.34904,5259
6/4/2007,21:00:00,1.34886,1.35536,1.34876,1.35226,1.34904,1.35554,1.34894,1.35244,6110
6/5/2007,21:00:00,1.35226,1.35376,1.34846,1.35026,1.35244,1.35394,1.34864,1.35044,5875
6/6/2007,21:00:00,1.35026,1.35116,1.34216,1.34326,1.35044,1.35134,1.34234,1.34344,7361
6/7/2007,21:00:00,1.34326,1.34356,1.33196,1.33676,1.34344,1.34374,1.33214,1.33694,8238
6/10/2007,21:00:00,1.33676,1.33716,1.33326,1.33566,1.33694,1.33734,1.33344,1.33584,5492
6/11/2007,21:00:00,1.33566,1.33686,1.33006,1.33006,1.33584,1.33704,1.33024,1.33024,5755
6/12/2007,21:00:00,1.33006,1.33146,1.32626,1.33106,1.33024,1.33164,1.32644,1.33124,8570
6/13/2007,21:00:00,1.33106,1.33236,1.32786,1.33106,1.33124,1.33254,1.32804,1.33124,5409
6/14/2007,21:00:00,1.33106,1.33856,1.33046,1.33796,1.33124,1.33874,1.33064,1.33814,5252
6/17/2007,21:00:00,1.33796,1.34176,1.33736,1.34136,1.33814,1.34194,1.33754,1.34154,5209
6/18/2007,21:00:00,1.34136,1.34366,1.33836,1.34266,1.34154,1.34384,1.33854,1.34284,6035
6/19/2007,21:00:00,1.34266,1.34366,1.33956,1.34036,1.34284,1.34384,1.33974,1.34054,5193
6/20/2007,21:00:00,1.34036,1.34076,1.33716,1.33886,1.34054,1.34094,1.33734,1.33904,6141
6/21/2007,21:00:00,1.33886,1.34686,1.33796,1.34646,1.33904,1.34704,1.33814,1.34664,5655
6/24/2007,21:00:00,1.34646,1.34726,1.34386,1.34616,1.34664,1.34744,1.34404,1.34634,4272
6/25/2007,21:00:00,1.34616,1.34786,1.34316,1.34536,1.34634,1.34804,1.34334,1.34554,5515
6/26/2007,21:00:00,1.34536,1.34576,1.34146,1.34526,1.34554,1.34594,1.34164,1.34544,6623
6/27/2007,21:00:00,1.34526,1.34816,1.34226,1.34486,1.34544,1.34834,1.34244,1.34504,6508
6/28/2007,21:00:00,1.34486,1.35396,1.34296,1.35346,1.34504,1.35414,1.34314,1.35364,7390
7/1/2007,21:00:00,1.35346,1.36376,1.35276,1.36226,1.35364,1.36394,1.35294,1.36244,6093
7/2/2007,21:00:00,1.36226,1.36336,1.35836,1.36076,1.36244,1.36354,1.35854,1.36094,5973
7/3/2007,21:00:00,1.36076,1.36306,1.36056,1.36116,1.36094,1.36324,1.36074,1.36134,3954
7/4/2007,21:00:00,1.36116,1.36586,1.35786,1.35976,1.36134,1.36604,1.35804,1.35994,6788
7/5/2007,21:00:00,1.35976,1.36406,1.35666,1.36236,1.36004,1.36414,1.35694,1.36254,6586
7/8/2007,21:00:00,1.36326,1.36376,1.36096,1.36256,1.36354,1.36384,1.36114,1.36274,3824
7/9/2007,21:00:00,1.36256,1.37476,1.35936,1.37466,1.36274,1.37494,1.35954,1.37484,7277
7/10/2007,21:00:00,1.37466,1.37866,1.37306,1.37446,1.37484,1.37894,1.37324,1.37464,9455
7/11/2007,21:00:00,1.37446,1.37976,1.37406,1.37886,1.37464,1.37994,1.37424,1.37904,8108
7/12/2007,21:00:00,1.37886,1.38136,1.37626,1.37866,1.37904,1.38144,1.37644,1.37884,6991
7/15/2007,21:00:00,1.37846,1.38036,1.37586,1.37716,1.37884,1.38034,1.37604,1.37734,5791
7/16/2007,21:00:00,1.37716,1.37986,1.37566,1.37806,1.37734,1.37994,1.37584,1.37834,6065
7/17/2007,21:00:00,1.37806,1.38326,1.37516,1.38016,1.37834,1.38334,1.37534,1.38044,9353
7/18/2007,21:00:00,1.38016,1.38306,1.37856,1.38026,1.38044,1.38314,1.37874,1.38044,7057
7/19/2007,21:00:00,1.38026,1.38426,1.37796,1.38256,1.38044,1.38434,1.37804,1.38274,6922
7/22/2007,21:00:00,1.38346,1.38436,1.37946,1.38056,1.38364,1.38464,1.37964,1.38084,4973
7/23/2007,21:00:00,1.38056,1.38516,1.37986,1.38216,1.38084,1.38524,1.38004,1.38244,7305
7/24/2007,21:00:00,1.38216,1.38316,1.36956,1.37206,1.38244,1.38344,1.36974,1.37224,9153
7/25/2007,21:00:00,1.37206,1.37706,1.36916,1.37446,1.37224,1.37714,1.36934,1.37474,9360
7/26/2007,21:00:00,1.37446,1.37526,1.36296,1.36376,1.37474,1.37544,1.36314,1.36384,10944
7/29/2007,21:00:00,1.36176,1.37046,1.36086,1.36956,1.36224,1.37054,1.36114,1.36984,9088
7/30/2007,21:00:00,1.36956,1.37266,1.36786,1.36826,1.36984,1.37284,1.36804,1.36834,8567
7/31/2007,21:00:00,1.36826,1.37086,1.36366,1.36666,1.36834,1.37094,1.36384,1.36684,10388
8/1/2007,21:00:00,1.36666,1.37046,1.36506,1.37026,1.36684,1.37054,1.36514,1.37044,6710
8/2/2007,21:00:00,1.37026,1.38196,1.36826,1.37866,1.37044,1.38204,1.36844,1.37884,7978
8/5/2007,21:00:00,1.38096,1.38386,1.37796,1.37926,1.38134,1.38414,1.37814,1.37944,8280
8/6/2007,21:00:00,1.37926,1.38156,1.37346,1.37356,1.37944,1.38164,1.37374,1.37374,7396
8/7/2007,21:00:00,1.37356,1.38256,1.37206,1.37966,1.37374,1.38264,1.37224,1.37984,7540
8/8/2007,21:00:00,1.37966,1.38166,1.36536,1.36766,1.37984,1.38174,1.36554,1.36784,9712
8/9/2007,21:00:00,1.36766,1.37046,1.36406,1.36956,1.36784,1.37064,1.36424,1.36964,9866
8/12/2007,21:00:00,1.36856,1.37076,1.36036,1.36126,1.36904,1.37094,1.36054,1.36144,7536
8/13/2007,21:00:00,1.36126,1.36246,1.35306,1.35316,1.36144,1.36254,1.35334,1.35344,9487
8/14/2007,21:00:00,1.35316,1.35386,1.34386,1.34406,1.35344,1.35404,1.34414,1.34424,10480
8/15/2007,21:00:00,1.34406,1.34466,1.33596,1.34246,1.34424,1.34474,1.33614,1.34274,16434
8/16/2007,21:00:00,1.34246,1.35456,1.33676,1.34906,1.34274,1.35474,1.33704,1.34934,16302
8/19/2007,21:00:00,1.34806,1.35076,1.34596,1.34726,1.34854,1.35094,1.34614,1.34744,7176
8/20/2007,21:00:00,1.34726,1.35196,1.34566,1.34646,1.34744,1.35204,1.34584,1.34674,8355
8/21/2007,21:00:00,1.34646,1.35506,1.34496,1.35416,1.34674,1.35514,1.34514,1.35434,7326
8/22/2007,21:00:00,1.35416,1.35876,1.35336,1.35636,1.35434,1.35884,1.35354,1.35654,8979
8/23/2007,21:00:00,1.35636,1.36816,1.35536,1.36666,1.35654,1.36834,1.35554,1.36674,8407
8/26/2007,21:00:00,1.36756,1.36836,1.36356,1.36456,1.36794,1.36854,1.36374,1.36484,4456
8/27/2007,21:00:00,1.36456,1.36796,1.36016,1.36016,1.36484,1.36804,1.36034,1.36054,7086
8/28/2007,21:00:00,1.36016,1.36796,1.35626,1.36766,1.36054,1.36804,1.35644,1.36784,8452
8/29/2007,21:00:00,1.36766,1.36796,1.35916,1.36246,1.36784,1.36814,1.35934,1.36264,8918
8/30/2007,21:00:00,1.36246,1.37186,1.36196,1.36216,1.36264,1.37194,1.36214,1.36234,8504
9/2/2007,21:00:00,1.36306,1.36536,1.36056,1.36236,1.36334,1.36544,1.36074,1.36244,3894
9/3/2007,21:00:00,1.36236,1.36256,1.35506,1.36036,1.36244,1.36274,1.35524,1.36054,6397
9/4/2007,21:00:00,1.36036,1.36706,1.35686,1.36456,1.36054,1.36724,1.35704,1.36474,7004
9/5/2007,21:00:00,1.36456,1.37096,1.36346,1.36896,1.36474,1.37104,1.36364,1.36924,7089
9/6/2007,21:00:00,1.36896,1.37976,1.36626,1.37676,1.36924,1.37984,1.36644,1.37684,7023
9/9/2007,21:00:00,1.37686,1.38156,1.37656,1.38016,1.37724,1.38164,1.37674,1.38034,6652
9/10/2007,21:00:00,1.38016,1.38476,1.37776,1.38376,1.38034,1.38493,1.37793,1.38404,12416
9/11/2007,21:00:00,1.38376,1.39138,1.38236,1.39026,1.38404,1.39145,1.38254,1.39054,12104
9/12/2007,21:00:00,1.39026,1.39268,1.38626,1.38846,1.39054,1.39276,1.38643,1.38874,12593
9/13/2007,21:00:00,1.38846,1.3895,1.38436,1.38766,1.38874,1.38963,1.38451,1.38783,18968
9/16/2007,21:00:00,1.38656,1.38877,1.38482,1.38666,1.38694,1.38893,1.38494,1.38684,10789
9/17/2007,21:00:00,1.38666,1.39876,1.38278,1.39826,1.38684,1.39893,1.38294,1.39844,15906
9/18/2007,21:00:00,1.39826,1.39869,1.39356,1.39566,1.39844,1.39884,1.39374,1.39584,21798
9/19/2007,21:00:00,1.39566,1.40978,1.39541,1.40636,1.39584,1.40994,1.39569,1.40654,23777
9/20/2007,21:00:00,1.40636,1.41196,1.40417,1.40897,1.40654,1.41204,1.40433,1.40904,21287
9/23/2007,21:00:00,1.40906,1.41296,1.40667,1.40856,1.40944,1.41319,1.40682,1.40874,16173
9/24/2007,21:00:00,1.40856,1.41538,1.40606,1.41366,1.40874,1.41554,1.40622,1.41393,21604
9/25/2007,21:00:00,1.41366,1.41616,1.4111,1.41268,1.41393,1.41632,1.41123,1.41284,20148
9/26/2007,21:00:00,1.41268,1.4189,1.41236,1.41516,1.41284,1.41904,1.41254,1.41534,20995
9/27/2007,21:00:00,1.41516,1.42776,1.41446,1.42586,1.41534,1.42788,1.41464,1.426,24605
9/30/2007,21:00:00,1.42736,1.42815,1.421,1.42306,1.42774,1.42843,1.42114,1.42334,19852
10/1/2007,21:00:00,1.42306,1.42367,1.41386,1.41536,1.42334,1.42384,1.41394,1.41554,23247
10/2/2007,21:00:00,1.41536,1.41997,1.40827,1.40897,1.41554,1.42013,1.40843,1.40913,21743
10/3/2007,21:00:00,1.40897,1.41496,1.40666,1.41376,1.40913,1.41514,1.40681,1.41389,21656
10/4/2007,21:00:00,1.41376,1.41576,1.40331,1.41346,1.41389,1.41576,1.40354,1.41354,18761
10/7/2007,21:00:00,1.41386,1.41526,1.40356,1.40476,1.41424,1.41544,1.40374,1.40494,15466
10/8/2007,21:00:00,1.40476,1.41147,1.40146,1.41056,1.40494,1.41154,1.40163,1.41069,19271
10/9/2007,21:00:00,1.41056,1.41714,1.40926,1.41446,1.41069,1.41723,1.40944,1.41464,20110
10/10/2007,21:00:00,1.41446,1.42407,1.41346,1.41956,1.41464,1.42413,1.41364,1.41974,26766
10/11/2007,21:00:00,1.41956,1.42128,1.41537,1.41769,1.41974,1.42144,1.4155,1.41784,21759
10/14/2007,21:00:00,1.41746,1.42426,1.41616,1.42036,1.41794,1.42441,1.41634,1.42064,16455
10/15/2007,21:00:00,1.42036,1.42262,1.41436,1.41717,1.42064,1.42273,1.41452,1.41744,23770
10/16/2007,21:00:00,1.41717,1.42299,1.41567,1.42066,1.41744,1.42314,1.41583,1.42084,25061
10/17/2007,21:00:00,1.42066,1.43097,1.41956,1.42926,1.42084,1.43112,1.41974,1.42944,24499
10/18/2007,21:00:00,1.42926,1.43187,1.42446,1.42946,1.42944,1.43204,1.42455,1.42964,21489
10/21/2007,21:00:00,1.43286,1.43481,1.41256,1.4183,1.43334,1.43504,1.41271,1.41844,29260
10/22/2007,21:00:00,1.4183,1.42794,1.41706,1.42621,1.41844,1.42804,1.41723,1.42649,26303
10/23/2007,21:00:00,1.42621,1.42676,1.41877,1.42656,1.42649,1.42689,1.4189,1.42674,25890
10/24/2007,21:00:00,1.42656,1.43446,1.42476,1.43226,1.42674,1.43458,1.42492,1.43253,24762
10/25/2007,21:00:00,1.43226,1.43929,1.43166,1.43896,1.43253,1.43942,1.43184,1.43914,21302
10/28/2007,21:00:00,1.44176,1.44377,1.43766,1.44246,1.44204,1.44392,1.43777,1.44266,19821
10/29/2007,21:00:00,1.44246,1.44406,1.43736,1.44316,1.44266,1.44414,1.43754,1.44343,22332
10/30/2007,21:00:00,1.44316,1.45037,1.44186,1.44866,1.44343,1.4505,1.44202,1.44884,25390
10/31/2007,21:00:00,1.44866,1.44866,1.44036,1.44236,1.44884,1.44884,1.44052,1.44264,27759
11/1/2007,21:00:00,1.44236,1.45278,1.44146,1.45146,1.44264,1.45294,1.44164,1.45154,22075
11/4/2007,22:00:00,1.45146,1.45236,1.44436,1.44686,1.45174,1.45257,1.44444,1.44704,22620
11/5/2007,22:00:00,1.44686,1.45698,1.44656,1.4555,1.44704,1.45713,1.44674,1.45574,23392
11/6/2007,22:00:00,1.4555,1.47297,1.45538,1.46361,1.45574,1.47314,1.45554,1.46389,33081
11/7/2007,22:00:00,1.46361,1.47036,1.46131,1.46746,1.46389,1.4705,1.46154,1.46774,29495
11/8/2007,22:00:00,1.46746,1.47516,1.46318,1.46686,1.46774,1.47532,1.46331,1.46698,35707
11/11/2007,22:00:00,1.46696,1.46736,1.45258,1.45316,1.46734,1.46764,1.45274,1.45334,31914
11/12/2007,22:00:00,1.45316,1.46327,1.45197,1.46016,1.45334,1.46334,1.45214,1.46044,27371
11/13/2007,22:00:00,1.46016,1.47248,1.45996,1.46496,1.46044,1.47264,1.46019,1.4652,30384
11/14/2007,22:00:00,1.46496,1.47037,1.46046,1.46106,1.4652,1.47054,1.46062,1.46134,30674
11/15/2007,22:00:00,1.46106,1.46719,1.45808,1.46476,1.46134,1.46734,1.45824,1.46494,21225
11/18/2007,22:00:00,1.46696,1.46866,1.46207,1.46636,1.46724,1.46884,1.46223,1.46649,22155
11/19/2007,22:00:00,1.46636,1.48526,1.46356,1.48396,1.46649,1.48544,1.46374,1.48409,30581
11/20/2007,22:00:00,1.48396,1.48696,1.47756,1.48576,1.48409,1.48708,1.47765,1.48603,27327
11/21/2007,22:00:00,1.48576,1.48726,1.48216,1.48486,1.48603,1.48739,1.48234,1.48514,16178
11/22/2007,22:00:00,1.48486,1.49666,1.47847,1.48361,1.48514,1.49694,1.47852,1.48374,23810
11/25/2007,22:00:00,1.48196,1.48859,1.48046,1.48706,1.48244,1.48873,1.48074,1.48732,24480
11/26/2007,22:00:00,1.48706,1.49008,1.48087,1.48276,1.48732,1.49014,1.48097,1.48304,31746
11/27/2007,22:00:00,1.48276,1.48586,1.47112,1.48403,1.48304,1.48593,1.47124,1.48422,31819
11/28/2007,22:00:00,1.48403,1.48427,1.47228,1.47433,1.48422,1.48444,1.47244,1.47453,28592
11/29/2007,22:00:00,1.47433,1.47846,1.46286,1.46296,1.47453,1.47855,1.46304,1.46304,28875
12/2/2007,22:00:00,1.46366,1.47078,1.46197,1.46666,1.46414,1.47094,1.46213,1.46689,20824
12/3/2007,22:00:00,1.46666,1.4767,1.46349,1.4758,1.46689,1.47683,1.46361,1.47594,31026
12/4/2007,22:00:00,1.4758,1.47696,1.45917,1.46106,1.47594,1.47714,1.45933,1.46134,24351
12/5/2007,22:00:00,1.46106,1.46517,1.45241,1.46366,1.46134,1.46524,1.45264,1.46394,25398
12/6/2007,22:00:00,1.46366,1.46727,1.45986,1.46536,1.46394,1.46739,1.46001,1.46544,22082
12/9/2007,22:00:00,1.46536,1.47357,1.46396,1.47106,1.46574,1.4737,1.46414,1.47124,19195
12/10/2007,22:00:00,1.47106,1.47504,1.46385,1.46536,1.47124,1.47513,1.46403,1.46564,25631
12/11/2007,22:00:00,1.46536,1.47444,1.46496,1.47051,1.46564,1.47444,1.46514,1.47074,26127
12/12/2007,22:00:00,1.47051,1.47367,1.45766,1.46325,1.47074,1.47382,1.45774,1.46344,27125
12/13/2007,22:00:00,1.46325,1.46556,1.44106,1.44226,1.46344,1.46572,1.44124,1.44244,32703
12/16/2007,22:00:00,1.43896,1.44526,1.43301,1.43996,1.43924,1.44539,1.43313,1.44014,29034
12/17/2007,22:00:00,1.43996,1.44354,1.43656,1.44137,1.44014,1.44366,1.43671,1.44146,23677
12/18/2007,22:00:00,1.44137,1.44232,1.43244,1.43817,1.44146,1.44241,1.43266,1.43836,19443
12/19/2007,22:00:00,1.43817,1.43914,1.43102,1.43282,1.43836,1.43926,1.43113,1.43296,19039
12/20/2007,22:00:00,1.43282,1.44097,1.43164,1.43574,1.43296,1.44106,1.43179,1.43583,16230
12/23/2007,22:00:00,1.43716,1.44131,1.43656,1.44075,1.43764,1.44142,1.43704,1.44086,5891
12/25/2007,22:00:00,1.44075,1.44075,1.43942,1.43965,1.44086,1.44086,1.43973,1.43973,48
12/26/2007,22:00:00,1.43965,1.46387,1.43965,1.46248,1.43973,1.46398,1.43973,1.4626,12660
12/27/2007,22:00:00,1.46248,1.47268,1.45914,1.47153,1.4626,1.47285,1.45932,1.47161,16913
12/30/2007,22:00:00,1.47136,1.47458,1.45809,1.45924,1.47184,1.47492,1.45845,1.45954,12346
1/1/2008,22:00:00,1.45924,1.47495,1.45924,1.47144,1.45954,1.47507,1.45954,1.47144,13594
1/2/2008,22:00:00,1.47144,1.47807,1.46874,1.47496,1.47144,1.47818,1.46884,1.47506,19098
1/3/2008,22:00:00,1.47496,1.48241,1.46952,1.47524,1.47506,1.48255,1.46963,1.47541,18556
1/6/2008,22:00:00,1.47446,1.47546,1.46654,1.46938,1.47494,1.47589,1.46667,1.46956,17260
1/7/2008,22:00:00,1.46938,1.47425,1.46806,1.47063,1.46956,1.47436,1.46817,1.47071,19053
1/8/2008,22:00:00,1.47063,1.47425,1.46387,1.46591,1.47071,1.47436,1.46398,1.466,19162
1/9/2008,22:00:00,1.46591,1.48135,1.46415,1.48025,1.466,1.48146,1.46426,1.48044,24033
1/10/2008,22:00:00,1.48025,1.48186,1.47615,1.47768,1.48044,1.48197,1.47626,1.47776,19415
1/13/2008,22:00:00,1.47786,1.49145,1.47786,1.48689,1.47834,1.49156,1.47834,1.48696,17648
1/14/2008,22:00:00,1.48689,1.4922,1.47996,1.48032,1.48696,1.49231,1.48007,1.48043,21879
1/15/2008,22:00:00,1.48032,1.48585,1.4594,1.46515,1.48043,1.48596,1.45956,1.4652,31331
1/16/2008,22:00:00,1.46515,1.47145,1.4589,1.46419,1.4652,1.47156,1.45901,1.46426,29385
1/17/2008,22:00:00,1.46419,1.4695,1.46035,1.4616,1.46426,1.46961,1.46046,1.46176,26570
1/20/2008,22:00:00,1.46011,1.46021,1.44206,1.44556,1.46059,1.46069,1.44226,1.4457,24647
1/21/2008,22:00:00,1.44556,1.46445,1.43651,1.46285,1.4457,1.46446,1.43662,1.46287,39341
1/22/2008,22:00:00,1.46285,1.46845,1.45105,1.46295,1.46287,1.46856,1.45116,1.46296,34974
1/23/2008,22:00:00,1.46295,1.47783,1.45905,1.47546,1.46296,1.47797,1.45919,1.47555,28830
1/24/2008,22:00:00,1.47546,1.47773,1.46603,1.46708,1.47555,1.47787,1.46617,1.46725,26079
1/27/2008,22:00:00,1.46781,1.47972,1.46613,1.47813,1.46829,1.47986,1.46632,1.47829,23122
1/28/2008,22:00:00,1.47813,1.47966,1.47371,1.4776,1.47829,1.47983,1.47385,1.47774,21059
1/29/2008,22:00:00,1.4776,1.49069,1.47543,1.48623,1.47774,1.49083,1.47559,1.48634,25332
1/30/2008,22:00:00,1.48623,1.49133,1.48013,1.48599,1.48634,1.49147,1.48027,1.48609,31633
1/31/2008,22:00:00,1.48599,1.4942,1.47848,1.4798,1.48609,1.49448,1.47872,1.47991,27594
2/3/2008,22:00:00,1.48031,1.48483,1.47925,1.48292,1.48079,1.48499,1.47939,1.4831,21031
2/4/2008,22:00:00,1.48292,1.48343,1.46223,1.46461,1.4831,1.48357,1.46237,1.46477,27123
2/5/2008,22:00:00,1.46461,1.46709,1.45912,1.46304,1.46477,1.46723,1.45926,1.46318,24632
2/6/2008,22:00:00,1.46304,1.46511,1.44384,1.4484,1.46318,1.46525,1.44408,1.44859,31569
2/7/2008,22:00:00,1.4484,1.45463,1.44505,1.45114,1.44859,1.45477,1.44519,1.4513,23996
2/10/2008,22:00:00,1.45151,1.45764,1.44814,1.45193,1.45199,1.45778,1.44828,1.45205,21798
2/11/2008,22:00:00,1.45193,1.46142,1.44956,1.45828,1.45205,1.46156,1.4497,1.45842,23835
2/12/2008,22:00:00,1.45828,1.45979,1.45311,1.45729,1.45842,1.45991,1.45325,1.45747,22773
2/13/2008,22:00:00,1.45729,1.4648,1.45481,1.46408,1.45747,1.46494,1.45495,1.46432,22747
2/14/2008,22:00:00,1.46408,1.47086,1.46308,1.46771,1.46432,1.47099,1.46324,1.46784,35006
2/17/2008,22:00:00,1.46786,1.46901,1.46104,1.46566,1.46814,1.46914,1.46109,1.46594,22112
2/18/2008,22:00:00,1.46566,1.47565,1.46416,1.47246,1.46594,1.47577,1.46428,1.47264,37405
2/19/2008,22:00:00,1.47246,1.47306,1.46137,1.47136,1.47264,1.47319,1.46153,1.47154,41841
2/20/2008,22:00:00,1.47136,1.48372,1.47018,1.48126,1.47154,1.48388,1.47033,1.48148,40219
2/21/2008,22:00:00,1.48126,1.48626,1.47879,1.48301,1.48148,1.48638,1.47894,1.48314,33806
2/24/2008,22:00:00,1.48301,1.48441,1.47939,1.48286,1.48314,1.48453,1.47954,1.48304,29887
2/25/2008,22:00:00,1.48286,1.49856,1.47771,1.49731,1.48304,1.49861,1.47789,1.49749,42992
2/26/2008,22:00:00,1.49731,1.51433,1.49701,1.51193,1.49749,1.51444,1.49719,1.51211,61843
