Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,SPY,.SPX,.VIX,EUR=,XAU=,GDX,GLD
2010-01-04,30.57282657,30.95,20.88,133.9,173.08,113.33,1132.99,20.04,1.4411,1120.0,47.71,109.8
2010-01-05,30.625683660000004,30.96,20.87,134.69,176.14,113.63,1136.52,19.35,1.4368,1118.65,48.17,109.7
2010-01-06,30.138541290000003,30.77,20.8,132.25,174.26,113.71,1137.14,19.16,1.4412,1138.5,49.34,111.51
2010-01-07,30.082827060000003,30.452,20.6,130.0,177.67,114.19,1141.69,19.06,1.4318,1131.9,49.1,110.82
2010-01-08,30.28282686,30.66,20.83,133.52,174.31,114.57,1144.98,18.13,1.4412,1136.1,49.84,111.37
2010-01-11,30.015684270000005,30.27,20.95,130.308,171.56,114.73,1146.98,17.55,1.4513,1152.6,50.17,112.85
2010-01-12,29.674256040000003,30.07,20.608,127.35,167.82,113.66,1136.22,18.25,1.4494,1127.3,48.35,110.49
2010-01-13,30.092827050000004,30.35,20.96,129.11,169.07,114.62,1145.68,17.85,1.451,1138.4,48.86,111.54
2010-01-14,29.918541510000004,30.96,21.48,127.35,168.53,114.93,1148.46,17.63,1.4502,1142.85,48.6,112.03
2010-01-15,29.418542010000003,30.86,20.8,127.14,165.21,113.64,1136.03,17.91,1.4382,1129.9,47.42,110.86
2010-01-19,30.71996928,31.1,21.05,127.61,166.86,115.06,1150.23,17.58,1.4298,1137.7,47.69,111.52
2010-01-20,30.246398325,30.585,21.08,125.78,167.79,113.89,1138.04,18.68,1.4101,1111.3,45.73,108.94
2010-01-21,29.724541704000004,30.01,20.84,126.62,160.87,111.7,1116.48,22.27,1.409,1094.75,43.75,107.37
2010-01-22,28.249971750000004,28.96,19.91,121.43,154.12,109.21,1091.76,27.31,1.4137,1092.6,43.79,107.17
2010-01-25,29.010685275,29.32,20.32,120.31,154.98,109.77,1096.78,25.41,1.415,1097.85,43.19,107.48
2010-01-26,29.41997058,29.5,20.0,119.48,150.88,109.31,1092.17,24.55,1.4073,1097.65,43.13,107.56
2010-01-27,29.697684588,29.67,20.24,122.75,151.5,109.83,1097.5,23.14,1.4017,1086.35,42.77,106.528
2010-01-28,28.469971530000002,29.16,19.92,126.03,153.29,108.57,1084.53,23.73,1.3962,1085.9,42.17,106.48
2010-01-29,27.437543991000002,28.18,19.4,125.41,148.72,107.39,1073.87,24.62,1.3862,1081.05,40.72,105.96
2010-02-01,27.818543610000003,28.41,19.61,118.87,153.13,109.06,1089.19,22.59,1.3927,1106.95,42.94,108.35
2010-02-02,27.979972020000005,28.46,19.91,118.12,156.94,110.38,1103.32,21.48,1.3961,1114.8,43.0,109.13
2010-02-03,28.46140011,28.63,19.68,119.1,157.23,109.83,1097.28,21.6,1.3898,1109.25,42.57,108.7
2010-02-04,27.435686850000003,27.84,19.02,115.94,150.68,106.44,1063.11,26.08,1.3734,1063.05,40.24,104.37
2010-02-05,27.922829220000004,28.02,19.47,117.39,154.16,106.66,1066.19,26.11,1.3662,1064.95,42.41,104.68
2010-02-08,27.731400840000003,27.72,19.35,116.83,151.1,105.89,1056.74,26.51,1.3652,1063.35,40.78,104.04
2010-02-09,28.027114830000002,28.01,19.65,118.03,152.49,107.22,1070.52,26.0,1.3789,1076.9,42.57,105.41
2010-02-10,27.873686412000005,27.99,19.69,117.36,153.63,107.01,1068.13,25.4,1.3726,1072.45,42.35,105.12
2010-02-11,28.38140019,28.12,20.06,120.09,154.05,108.13,1078.47,23.96,1.3681,1094.95,43.99,107.13
2010-02-12,28.625685660000002,27.93,20.43,119.66,153.93,108.04,1075.51,22.73,1.3615,1092.4,43.94,107.04
2010-02-16,29.057113800000003,28.35,20.72,117.53,157.4,109.74,1094.87,22.25,1.3768,1119.55,44.91,109.62
2010-02-17,28.935685350000004,28.59,20.66,116.31,157.26,110.26,1099.51,21.72,1.3605,1114.8,44.71,109.25
2010-02-18,28.989685296,28.969,20.84,118.08,155.73,110.91,1106.75,20.63,1.3614,1123.5,45.06,109.98
2010-02-19,28.80997119,28.77,20.82,117.52,156.18,111.14,1109.17,20.02,1.3615,1118.45,44.57,109.47
2010-02-22,28.630828512,28.73,20.87,118.01,156.71,111.16,1108.01,19.94,1.3597,1113.3,44.09,109.07
2010-02-23,28.151257563,28.33,20.388,117.24,156.7,109.81,1094.6,21.37,1.3505,1101.65,42.5,107.89
2010-02-24,28.665114192000004,28.63,20.7,119.72,158.33,110.82,1105.24,20.27,1.353,1096.0,42.25,107.36
2010-02-25,28.857114000000003,28.6,20.63,118.2,156.44,110.67,1102.94,20.1,1.3555,1105.7,43.45,108.31
2010-02-26,29.231399340000003,28.67,20.53,118.4,156.35,110.74,1104.49,19.5,1.3625,1116.1,43.89,109.43
2010-03-01,29.855684430000004,29.02,20.87,124.54,156.54,111.89,1115.71,19.26,1.356,1116.95,44.64,109.43
2010-03-02,29.835684450000002,28.46,20.6975,125.53,158.75,112.2,1118.31,19.06,1.3604,1134.25,45.51,111.02
2010-03-03,29.904255810000006,28.46,20.52,125.89,157.72,112.3,1118.79,18.83,1.3698,1139.1,46.364,111.63
2010-03-04,30.101398470000003,28.63,20.53,128.53,163.61,112.641,1122.97,18.72,1.3579,1131.6,45.58,110.83
2010-03-05,31.27854015,28.5875,20.79,128.91,167.18,114.25,1138.7,17.42,1.3621,1131.65,46.43,110.81
2010-03-08,31.297111560000005,28.63,20.77,130.11,169.84,114.27,1138.5,17.79,1.3628,1122.0,45.95,109.88
2010-03-09,31.859968140000003,28.8,20.94,128.82,168.85,114.46,1140.45,17.92,1.36,1119.7,45.58,109.718
2010-03-10,32.119967880000004,28.97,21.19,130.51,171.94,114.97,1145.61,18.57,1.3659,1107.8,44.96,108.47
2010-03-11,32.214253500000005,29.18,21.25,133.58,173.51,115.45,1150.24,18.06,1.3677,1109.05,45.32,108.6
2010-03-12,32.3713962,29.27,21.27,131.82,174.96,115.46,1149.99,17.58,1.3761,1102.05,44.99,107.95
2010-03-15,31.97711088,29.29,21.17,131.13,173.53,115.49,1150.51,18.0,1.3673,1108.6,44.94,108.36
2010-03-16,32.06425365,29.37,22.01,131.79,176.19,116.41,1159.46,17.69,1.3769,1124.7,46.12,110.4
2010-03-17,32.01711084,29.63,22.2425,131.34,176.64,117.1,1166.21,16.91,1.3737,1124.05,46.27,109.59
2010-03-18,32.09282505,29.61,22.2,132.76,177.45,117.0375,1165.83,16.62,1.3606,1125.45,45.97,110.34
2010-03-19,31.7499539643,29.59,21.9925,130.35,177.9,115.97,1159.9,16.97,1.3531,1106.55,45.31,108.28
2010-03-22,32.107110750000004,29.6,22.24,130.47,176.2,116.5925,1165.81,16.87,1.3555,1101.8,45.14,107.75
2010-03-23,32.62282452,29.88,22.6725,129.26,174.83,117.41,1174.17,16.35,1.3498,1102.15,45.28,108.32
2010-03-24,32.76711009,29.65,22.43,128.04,174.41,116.84,1167.72,17.55,1.3313,1087.0,43.5,106.3
2010-03-25,32.37853905,30.01,22.35,134.73,174.9,116.65,1165.73,18.4,1.3278,1090.85,42.91,106.78
2010-03-26,32.9856813,29.66,22.24,135.06,172.87,116.582,1166.59,17.77,1.341,1105.6,43.712,108.59
2010-03-29,33.198538230000004,29.59,22.33,135.12,174.05,117.32,1173.22,17.59,1.3477,1108.2,44.33,108.75
2010-03-30,33.692109165000005,29.77,22.34,136.579,171.38,117.4,1173.27,17.13,1.3411,1102.6,43.86,107.97
2010-03-31,33.571395,29.2875,22.29,135.77,170.63,117.0,1169.43,17.59,1.351,1112.8,44.41,108.95
2010-04-01,33.709966290000004,29.16,22.39,131.81,170.22,117.8,1178.1,17.47,1.3581,1125.5,46.4,110.26
2010-04-05,34.06996593,29.27,22.59,131.49,173.16,118.76,1187.44,17.02,1.3483,1129.7,46.9,110.89
2010-04-06,34.21996578,29.32,22.4,135.56,172.9,119.04,1189.44,16.23,1.3398,1133.7,46.81,111.03
2010-04-07,34.371394200000005,29.35,22.45,134.87,176.36,118.36,1182.45,16.62,1.334,1147.5,48.18,112.49
2010-04-08,34.27853715,29.92,22.31,140.96,179.5,118.7725,1186.44,16.48,1.3358,1150.15,48.19,112.65
2010-04-09,34.54139403,30.34,22.55,140.06,179.12,119.55,1194.37,16.14,1.3496,1159.9,48.68,113.64
2010-04-12,34.61282253,30.32,22.539,141.2,177.84,119.74,1196.48,15.58,1.3584,1151.51,48.14,113.01
2010-04-13,34.632822510000004,30.45,22.7699,140.16,179.25,119.83,1197.3,16.2,1.3606,1150.15,47.75,112.69
2010-04-14,35.09853633,30.82,23.52,144.28,184.92,121.19,1210.65,15.59,1.3651,1153.9,48.09,113.03
2010-04-15,35.55996444,30.87,24.221,145.82,184.27,121.29,1211.67,15.89,1.3579,1157.95,47.57,113.65
2010-04-16,35.3428218,30.67,23.92,142.171,160.7,119.36,1192.13,18.36,1.3496,1136.45,46.65,111.24
2010-04-19,35.29567899,31.039,24.0,142.43,163.32,119.81,1197.52,17.34,1.3484,1134.6,46.59,111.15
2010-04-20,34.94139363,31.36,24.12,144.2,159.98,120.88,1207.17,15.73,1.3436,1140.0,46.46,111.46
2010-04-21,37.03139154000001,31.332,23.8,146.43,158.93,120.66,1205.94,16.32,1.3386,1145.3,46.98,112.31
2010-04-22,38.0670333615,31.39,23.99,150.09,159.05,121.02,1208.67,16.47,1.3292,1140.95,47.36,111.84
2010-04-23,38.68996131,30.96,24.04,143.63,157.4,121.8125,1217.28,16.62,1.3383,1156.9,48.21,113.19
2010-04-26,38.499961500000005,31.11,23.82,147.11,152.03,121.35,1212.05,17.47,1.3395,1154.38,48.13,112.75
2010-04-27,37.434248280000006,30.845,23.35,142.02,153.04,118.48,1183.71,22.81,1.3163,1172.43,48.28,114.63
2010-04-28,37.371391200000005,30.91,23.26,139.35,157.01,119.38,1191.36,21.08,1.3211,1164.95,49.7,114.31
2010-04-29,38.37710448,31.003,23.49,141.73,160.24,120.8575,1206.78,18.44,1.3224,1166.1,50.31,114.28
2010-04-30,37.29853413,30.535,22.84,137.1,145.2,118.8125,1186.69,22.05,1.3295,1178.25,50.51,115.36
2010-05-03,38.049961950000004,30.86,23.26,137.49,149.5,120.35,1202.26,20.19,1.3192,1181.9,49.88,115.73
2010-05-04,36.954248760000006,30.13,22.56,129.83,149.45,117.52,1173.6,23.84,1.298,1171.15,49.66,114.87
2010-05-05,36.56924914500001,29.85,22.1725,130.93,148.19,116.82,1165.9,24.91,1.2812,1174.2,49.24,115.09
2010-05-06,35.17853625,28.98,21.51,128.71,142.32,112.942,1128.15,32.8,1.2656,1207.75,49.9399,118.486
2010-05-07,33.69425202000001,28.21,21.31,124.98,142.99,111.26,1110.88,40.95,1.2759,1207.8,49.13,118.27
2010-05-10,36.28424943,28.94,22.55,131.29,143.98,116.16,1159.73,28.84,1.2781,1201.9,50.14,117.57
2010-05-11,36.64567764,28.88,22.28,130.46,141.97,115.83,1155.79,28.32,1.2653,1232.05,53.6,120.656
2010-05-12,37.44139113,29.44,23.09,133.87,147.2,117.45,1171.67,25.52,1.2621,1236.35,53.43,121.4
2010-05-13,36.90853452,29.24,22.5,131.47,144.65,115.99,1157.44,26.68,1.2528,1231.83,52.66,120.56
2010-05-14,36.25996374,28.93,21.89,128.533,143.23,113.89,1135.68,31.24,1.236,1232.55,53.15,120.37
2010-05-17,36.317106540000005,28.94,22.02,128.91,142.64,113.95,1136.94,30.84,1.2393,1222.75,51.87,119.36
2010-05-18,36.05139252000001,28.5975,21.43,126.28,137.36,112.4,1120.8,33.55,1.218,1220.7,51.49,119.49
2010-05-19,35.47710738000001,28.24,21.6,124.59,140.1,111.76,1115.05,35.32,1.2427,1190.75,49.45,116.63
2010-05-20,33.965680320000004,27.11,20.79,119.71,136.08,107.54,1071.59,45.79,1.2465,1182.1,47.0475,115.84
2010-05-21,34.61710824,26.84,20.9075,122.72,140.62,109.115,1087.69,40.1,1.257,1175.15,47.21,115.22
2010-05-24,35.25139332,26.27,20.67,122.12,136.69,107.71,1073.65,38.32,1.2351,1191.55,47.64,116.84
2010-05-25,35.03139354,26.07,20.85,124.86,142.56,107.818,1074.03,34.61,1.2365,1200.1,48.939999,117.36
2010-05-26,34.87267941300001,25.01,20.7,123.21,140.3,107.17,1067.95,35.02,1.2167,1209.9,48.99,118.470001
2010-05-27,36.192820950000005,26.0,21.76,126.7,144.95,110.76,1103.06,29.68,1.2368,1211.1,50.178,118.69
2010-05-28,36.697106160000004,25.8,21.42,125.46,144.26,109.369,1089.41,32.07,1.2267,1213.81,49.86,118.881
2010-06-01,37.26139131,25.89,21.18,123.24,141.86,107.53,1070.71,35.54,1.2225,1224.3,49.81,119.91
2010-06-02,37.707105150000004,26.46,21.81,126.31,144.83,110.33,1098.38,30.17,1.2249,1222.85,50.67,119.78
2010-06-03,37.588533840000004,26.86,21.9,128.76,144.04,110.71,1102.83,29.46,1.2157,1207.55,49.83,117.96
2010-06-04,36.566392005000004,25.79,20.945,122.77,142.4,106.82,1064.88,35.48,1.1973,1219.0,48.815,119.19
2010-06-07,35.848535580000004,25.29,20.3075,122.01,138.68,105.49,1050.47,36.57,1.1914,1239.05,50.19,121.49
2010-06-08,35.618535810000004,25.11,20.18,118.835,137.78,106.62,1062.0,33.7,1.1972,1234.63,50.72,121.0025
2010-06-09,34.7428224,24.79,19.93,117.91,136.8,106.05,1055.69,33.73,1.1985,1230.35,50.2,120.56
2010-06-10,35.787107070000005,25.0,20.55,123.21,133.77,109.15,1086.84,30.57,1.2108,1217.3,50.66,118.975
2010-06-11,36.21567807,25.66,20.64,123.03,135.64,109.68,1091.6,28.79,1.211,1225.9,50.79,120.01
2010-06-14,36.32567796,25.495,20.89,123.83,133.44,109.509,1089.63,28.58,1.2217,1221.15,49.9,119.6
2010-06-15,37.09853433,26.5825,21.48,126.84,136.9,112.0,1115.23,25.87,1.2323,1233.45,51.17,120.99
2010-06-16,38.17853325,26.32,21.489,126.9,137.06,111.96,1114.61,25.92,1.2306,1230.6,51.66,120.33
2010-06-17,38.83853259000001,26.37,21.52,125.89,137.32,112.14,1116.04,25.05,1.2378,1244.35,52.96,121.9
2010-06-18,39.153389418,26.44,21.4,125.83,138.18,111.729,1117.51,23.95,1.2384,1256.35,54.06,122.83
2010-06-21,38.59567569000001,25.95,21.19,122.55,137.74,111.41,1113.2,24.88,1.2306,1231.65,52.52,120.39
2010-06-22,39.12138945000001,25.77,20.98,122.307,134.79,109.57,1095.31,27.05,1.2266,1239.0,52.14,121.45
2010-06-23,38.70996129000001,25.308,20.81,121.45,135.07,109.23,1092.04,26.91,1.2313,1236.2,52.45,120.95
2010-06-24,38.428533,25.0,20.32,118.33,134.98,107.42,1073.69,29.74,1.2333,1244.05,52.18,121.3
2010-06-25,38.099961900000004,24.5325,20.0325,121.0,139.66,107.8675,1076.76,28.53,1.2374,1254.5,53.88,122.76
2010-06-28,38.3285331,24.31,20.36,117.8,136.66,107.53,1074.57,29.0,1.2277,1237.05,53.4,121.09
2010-06-29,36.59567769,23.31,19.79,108.61,133.76,104.21,1041.24,34.13,1.2179,1240.45,51.98,121.27
2010-06-30,35.93282121,23.01,19.45,109.26,131.27,103.22,1030.71,34.54,1.2234,1241.35,51.96,121.68
2010-07-01,35.49710736,23.16,19.25,110.96,131.14,102.76,1027.37,32.86,1.2517,1198.65,49.62,117.04
2010-07-02,35.27710758,23.27,19.2,109.14,131.08,102.2,1022.58,30.12,1.256,1210.6,49.58,118.49
2010-07-06,35.518535910000004,23.82,19.481,110.06,132.26,102.87,1028.06,29.65,1.2623,1192.25,48.91,116.51
2010-07-07,36.952105905,24.3,20.1425,113.43,135.83,106.1075,1060.27,26.84,1.2634,1201.85,49.9925,117.73
