Date,V2TX,V6I1,V6I2,V6I3,V6I4,V6I5,V6I6,V6I7,V6I8
1999-01-04,18.2033,21.2458,17.5555,31.2179,33.3124,33.7327,33.2232,31.8535,23.8209
1999-01-05,29.6912,36.64,28.4274,32.6922,33.7326,33.1724,32.8457,32.2904,25.0532
1999-01-06,25.167,25.4107,25.1351,32.2186,32.6459,31.9673,32.926,33.2871,26.0107
1999-01-07,32.5205,35.441,32.2004,36.1265,34.515,33.1095,33.2843,33.7269,26.2205
1999-01-08,33.2296,35.8846,33.002,36.0813,36.3964,33.4658,33.4837,33.9227,26.3672
1999-01-11,36.8411,46.9742,36.4643,39.9139,38.0755,34.6165,34.4576,34.6615,26.6732
1999-01-12,37.5664,48.6277,37.2998,40.5525,38.7981,35.0575,37.529,36.5965,28.0273
1999-01-13,39.7373,55.2934,39.5218,43.0083,40.1301,36.0443,38.3889,37.2219,28.1443
1999-01-14,39.1373,,39.9544,41.7597,40.5913,36.333,38.6781,37.4249,28.1515
1999-01-15,38.6741,,39.0602,40.1232,39.2451,35.9745,37.7796,36.766,28.0793
1999-01-18,38.5439,38.8913,41.5457,19.9845,39.4602,37.3577,38.0549,37.3479,28.536
1999-01-19,38.7869,38.9344,41.5739,24.2038,39.2582,37.3558,38.0546,37.0269,28.3321
1999-01-20,35.5535,35.506,38.4053,21.504,39.1608,36.0004,37.5174,35.507,27.3772
1999-01-21,36.9171,36.6065,40.1856,25.553,38.9945,35.7873,38.5652,35.1679,27.104
1999-01-22,39.9439,39.3615,43.1443,25.7346,41.1989,37.3538,39.5006,36.1562,27.3475
1999-01-25,40.7034,39.6008,42.8691,26.0348,41.0135,37.2661,39.4487,36.0909,27.3469
1999-01-26,42.7544,41.8125,44.2239,26.9608,41.5267,38.7847,40.1422,36.9609,27.9613
1999-01-27,41.7569,40.5969,43.2058,26.8408,41.2617,39.3234,40.4721,36.917,27.5299
1999-01-28,39.1479,38.0734,40.2463,26.272,39.5856,38.0631,39.1555,36.5641,27.437
1999-01-29,37.614,37.22,37.952,25.7061,39.0021,37.6582,38.9172,35.6565,27.3676
1999-02-01,37.0314,35.9769,37.5483,25.235,38.2104,37.0932,39.4165,35.3163,27.2398
1999-02-02,38.6119,37.9446,38.8876,26.2028,39.3145,38.0505,38.6181,35.8899,27.4633
1999-02-03,39.9634,38.9465,40.312,26.4374,39.6919,36.7187,38.9391,36.2264,27.5566
1999-02-04,38.7933,37.6938,39.106,26.1416,38.6848,36.8031,37.4777,35.3183,27.1497
1999-02-05,37.8148,36.3039,38.1672,26.2114,38.3404,36.6047,37.4372,35.2394,27.1411
1999-02-08,38.7652,39.435,38.6795,26.3882,38.7381,36.9554,36.4269,34.0488,26.4628
1999-02-09,39.5509,40.93,39.4112,24.6055,39.5962,37.7845,37.2343,34.5993,26.5442
1999-02-10,40.304,38.4648,40.4405,25.6599,39.6604,38.1404,37.6567,34.8869,26.2123
1999-02-11,37.8309,36.1257,37.9248,27.889,38.5684,36.9312,37.1189,34.6178,26.2268
1999-02-12,36.0635,35.8203,36.0732,27.3743,37.7676,35.1549,36.7671,33.6919,25.9808
1999-02-15,37.6696,37.9043,37.6678,28.4591,38.9226,36.0185,37.4036,34.0168,26.1682
1999-02-16,36.0135,36.7605,36.0116,27.6301,37.7219,35.1465,36.5098,33.421,25.7469
1999-02-17,36.6858,41.7057,36.7485,32.5259,38.2923,35.5409,36.7883,33.6789,25.3548
1999-02-18,35.563,,35.8934,31.6883,37.7377,35.3486,35.6195,33.5108,25.5878
1999-02-19,33.9143,,34.4661,30.5441,36.3745,33.9586,35.1459,32.9879,25.5611
1999-02-22,32.0859,32.3856,31.4644,18.4962,34.0876,33.3815,35.2273,32.5556,25.4772
1999-02-23,31.2627,31.4928,30.8899,19.2676,33.3371,31.7916,33.2736,30.6185,24.3578
1999-02-24,30.7791,30.5968,31.0124,28.8234,32.5125,31.8964,33.3447,30.4194,24.2909
1999-02-25,31.7813,32.3411,31.1821,28.8819,32.9914,32.9456,33.5996,31.0896,24.5321
1999-02-26,30.7952,30.6143,30.951,29.4258,33.8264,32.7603,33.4976,30.978,24.4882
1999-03-01,32.4626,33.4818,31.94,29.8307,35.0251,33.2811,34.1977,31.3163,24.6198
1999-03-02,32.0338,32.6807,31.7593,29.8301,34.733,33.5925,34.1473,31.2531,24.6054
1999-03-03,31.9273,34.0188,31.165,30.093,35.4818,34.2708,33.7941,31.9149,25.0004
1999-03-04,30.8785,30.8178,30.8961,29.229,34.8271,33.0851,33.4653,31.6027,24.9391
1999-03-05,29.2587,28.2572,29.4932,28.5612,33.4203,32.4824,32.8558,30.9313,24.7408
1999-03-08,29.8568,28.3003,30.0482,29.0723,34.09,33.0006,33.1463,31.2586,24.8732
1999-03-09,28.9631,28.6321,28.9958,28.0445,32.2985,31.3369,32.6787,30.1239,24.8788
1999-03-10,27.9453,27.9845,27.9423,27.3671,31.6859,30.99,32.2634,30.008,24.8148
1999-03-11,27.0558,26.8203,27.069,26.9882,30.8844,30.4218,32.0258,29.7684,24.7368
1999-03-12,26.9831,27.1633,26.9759,27.4915,30.7992,31.5937,31.6632,29.755,24.2243
1999-03-15,27.7671,28.9361,27.7575,27.5628,29.5476,30.4632,32.0961,29.6898,24.1809
1999-03-16,27.4854,30.7105,27.4767,26.5006,29.3262,30.2737,31.5106,29.5555,24.1147
1999-03-17,28.156,39.9562,28.1738,26.8859,29.974,30.5874,31.6762,29.742,24.2024
1999-03-18,28.1701,,28.2756,26.8279,30.2652,30.5058,31.6294,29.6921,24.185
1999-03-19,26.9936,,27.1583,25.8967,29.158,29.598,30.3265,29.3222,23.9983
1999-03-22,27.138,27.5911,26.0376,29.1558,30.101,30.4506,16.7777,29.4299,24.0829
1999-03-23,28.8415,29.4503,27.6684,30.9687,31.1248,32.9708,17.2131,30.157,24.3843
1999-03-24,29.9038,30.5815,28.8473,32.5818,31.5475,33.2247,18.857,30.4928,24.5049
1999-03-25,28.0526,28.171,27.9041,30.8801,30.836,32.8349,18.8588,29.9788,24.3411
1999-03-26,28.573,28.872,28.2587,31.6319,31.4517,33.2219,18.9011,30.3046,24.4396
1999-03-29,27.319,27.1928,27.3978,30.5854,31.7184,32.97,18.8987,29.9632,24.3537
1999-03-30,27.2308,27.0823,27.3097,30.5739,31.8719,32.7423,19.2774,30.8774,24.6207
1999-03-31,25.2455,24.5876,25.5382,29.1936,30.1732,32.7511,19.2719,30.7433,24.5956
1999-04-01,24.6067,23.8783,24.8816,28.2215,29.7991,32.1417,19.2203,30.5071,24.5044
1999-04-06,24.6069,24.6959,24.5926,28.3695,28.5524,32.0343,18.4936,29.227,24.1474
1999-04-07,25.0337,25.5237,24.9693,29.0502,28.6934,32.1781,18.7253,30.639,24.2918
1999-04-08,24.9114,25.629,24.8353,28.8483,28.1075,31.8562,19.8863,30.2566,24.2486
1999-04-09,24.3759,25.6521,24.2681,28.7018,27.6957,31.3257,19.6517,29.5373,23.8537
1999-04-12,25.2893,33.3963,24.9816,28.9779,28.0595,30.3882,19.5734,29.5034,23.8749
1999-04-13,24.4003,33.0476,24.1863,28.7679,27.9205,30.2346,19.4236,29.0652,23.7307
1999-04-14,25.4744,33.5695,25.3658,29.5445,28.3267,30.4513,19.5493,30.1443,24.8867
1999-04-15,26.5825,,27.5811,29.7352,29.0303,30.6049,19.7063,30.4843,25.0456
1999-04-16,25.7353,,26.3517,28.0085,28.9745,30.6186,19.7365,30.5112,24.518
1999-04-19,25.0928,25.374,27.5039,15.6315,27.2603,30.1315,19.0847,30.0768,24.3388
1999-04-20,26.7889,26.9088,29.0413,16.7926,28.5327,30.7176,20.0155,29.9631,24.6529
1999-04-21,25.7711,25.7227,28.6321,18.1701,28.8435,30.3583,19.0844,30.1592,24.6032
1999-04-22,25.2493,24.9981,27.8716,18.2366,28.3264,30.1297,19.4068,29.9124,24.505
1999-04-23,25.2358,24.8019,27.6015,18.2029,28.1193,29.9432,19.4302,29.9434,24.3532
1999-04-26,25.7839,25.0609,27.2021,18.1525,27.4425,29.7636,19.3944,28.9226,24.0036
1999-04-27,24.3193,23.3255,25.8344,17.7952,26.2445,28.8701,20.05,27.7131,23.8373
1999-04-28,24.47,23.6557,25.4809,18.7896,26.0839,29.0974,20.0187,27.5868,23.8676
1999-04-29,24.7805,23.4417,26.1137,18.8602,26.3735,29.0745,20.0599,27.6569,23.9026
1999-04-30,23.737,21.9936,25.1496,18.5917,27.6279,28.6551,19.9571,27.403,23.7998
1999-05-03,24.1008,22.2449,24.9784,20.4622,27.1895,28.5738,19.508,27.1429,23.7758
1999-05-04,24.4724,23.5684,24.8407,20.3142,27.2104,28.8191,19.5666,27.1567,23.822
1999-05-05,25.6464,24.1194,26.1579,20.3643,28.0886,28.7185,19.7478,27.8026,23.6319
1999-05-06,26.9529,26.0376,27.2123,20.4566,28.2667,29.1427,20.1251,27.9493,23.6914
1999-05-07,27.0848,26.3707,27.2527,20.4882,28.5898,29.3326,20.307,28.3027,24.0159
1999-05-10,27.306,26.1643,27.4472,20.8668,29.0063,29.7125,20.2052,29.0457,24.0204
1999-05-11,26.5551,24.6244,26.7394,20.9398,28.4819,29.3446,20.122,28.7391,24.0425
1999-05-12,27.5905,25.3399,27.7542,20.8522,28.8245,29.5058,20.245,28.9203,24.1177
1999-05-14,28.3111,28.2791,28.3123,20.5754,29.2958,29.9215,20.2633,29.5372,24.3304
1999-05-17,30.5288,34.5427,30.4945,20.148,30.702,31.0848,20.7257,29.2765,24.7546
1999-05-18,30.8287,33.0406,30.8228,20.9808,30.9908,31.5555,20.7587,30.3786,25.0562
1999-05-19,28.1833,30.2472,28.2785,21.4171,30.3117,30.9738,20.89,30.1939,24.928
1999-05-20,25.3421,,25.7008,20.9791,29.0939,29.7599,20.6334,29.8558,24.4678
1999-05-21,23.4528,,23.9326,20.473,28.23,29.3988,20.2523,29.862,24.5781
1999-05-25,26.6217,27.0551,25.9111,15.3914,30.2036,30.458,20.6681,31.342,25.473
1999-05-26,26.6568,27.1819,25.9645,16.9063,30.2359,30.7357,20.7453,30.1935,24.8655
1999-05-27,27.2467,27.7757,26.6794,16.5736,31.4326,31.4559,20.9325,30.6186,25.0129
1999-05-28,25.5676,25.397,25.7145,17.9225,30.095,30.8904,20.5658,30.5038,24.9742
1999-05-31,24.9911,24.7206,25.1254,18.2064,30.1491,30.8826,20.7206,30.2172,24.8338
1999-06-01,25.1583,24.6443,25.3701,18.3143,30.0235,31.1465,20.6901,30.3358,24.9139
1999-06-02,25.2086,24.6682,25.3943,18.2058,29.5113,30.792,20.6712,30.293,24.9009
1999-06-03,25.6438,25.4886,25.6886,18.3218,29.6492,30.8681,20.7048,30.3283,24.9283
1999-06-04,23.3808,21.4144,23.8269,17.9577,27.9411,29.6546,20.4632,29.3911,24.7437
1999-06-07,23.245,21.0597,23.5074,17.7645,27.3,28.9564,20.2498,29.0421,24.5946
1999-06-08,23.1267,21.5748,23.2752,17.6664,27.2131,29.0142,20.2929,29.0397,25.1346
1999-06-09,22.6426,21.3853,22.7354,17.1407,26.5012,28.5201,22.3292,29.6003,24.9645
1999-06-10,23.4619,23.4159,23.4645,18.4255,26.9549,29.2009,23.5947,29.8888,25.0955
1999-06-11,22.4243,21.5851,22.4572,18.0218,26.2808,28.3324,23.3974,29.5034,24.9206
1999-06-14,23.3682,26.6315,23.3402,18.6654,26.6661,28.8388,23.5664,29.7363,25.0596
1999-06-15,23.0918,26.4708,23.0826,18.2601,26.2242,28.6932,23.5776,29.3727,24.6357
1999-06-16,21.7749,26.0891,21.827,17.7681,25.1619,27.7608,23.554,29.1177,24.2571
1999-06-17,20.8871,,21.0995,18.0485,24.372,27.1642,23.284,28.3267,24.0919
1999-06-18,21.1036,,21.057,21.4041,24.2487,27.0507,23.2371,28.1803,23.9945
1999-06-21,20.6465,20.506,20.9744,23.5226,26.1496,22.9522,27.6048,23.271,18.0477
1999-06-22,21.0249,20.865,21.3202,23.9466,26.0527,22.8602,27.7258,23.4137,18.1057
1999-06-23,22.1883,22.3455,21.9482,24.8197,26.9394,23.0201,27.7184,23.725,18.2508
1999-06-24,22.7759,23.1878,22.2514,25.4289,27.1535,23.1795,28.2119,23.8281,18.1412
1999-06-25,22.3262,22.3366,22.3154,25.4611,27.2785,23.254,28.2322,23.8046,18.143
1999-06-28,23.0465,23.6648,22.6503,25.3423,27.106,23.288,27.9594,23.7936,18.1521
1999-06-29,23.1458,24.0524,22.6477,25.3881,27.563,23.1569,27.8617,23.5115,18.206
1999-06-30,23.3367,24.3511,22.8619,25.4679,27.5201,23.1102,27.5451,23.4049,18.1944
1999-07-01,21.635,21.9421,21.5155,23.8884,26.296,22.6538,26.8036,22.9684,18.0268
1999-07-02,20.4213,20.0131,20.5529,22.9323,25.5225,22.1624,26.3052,22.3933,17.8045
1999-07-05,19.9335,20.3884,19.8445,21.724,24.4955,21.8594,25.7113,21.7433,17.569
1999-07-06,20.6114,21.5185,20.4631,22.3518,24.8117,22.0096,25.6685,23.1057,18.8737
1999-07-07,21.3227,22.9822,21.0974,23.5182,25.217,22.1398,25.7745,22.7594,18.7381
1999-07-08,21.472,23.0787,21.2973,23.9354,25.5396,22.212,25.9501,23.0761,18.4711
1999-07-09,20.7281,21.4116,20.6709,23.5005,25.2865,22.2166,26.2221,23.3388,18.5515
1999-07-12,21.0405,25.6824,20.8722,23.7222,25.4429,22.249,25.9625,23.5518,18.6559
1999-07-13,22.4763,27.5181,22.3586,25.3829,26.469,22.6274,26.5717,23.4727,18.5686
1999-07-14,22.5393,28.5863,22.46,25.2979,26.7657,22.8567,26.6796,23.4062,18.5513
1999-07-15,20.1082,,21.433,24.1866,26.2751,22.6185,26.5984,23.2396,18.4959
1999-07-16,19.7668,,20.8404,23.5925,26.1095,22.5326,26.6574,23.2825,18.5051
1999-07-19,19.9218,20.3498,23.4716,13.8024,26.1803,22.8397,26.2771,23.2784,18.5614
1999-07-20,21.8327,22.0277,25.3731,13.6048,27.5634,23.4986,27.1664,23.6535,19.0424
1999-07-21,24.2567,24.2007,27.5279,16.1569,28.975,23.784,28.2652,24.4232,19.1813
1999-07-22,25.2919,25.036,27.9606,17.3563,29.4293,24.2494,28.4322,24.5158,19.3376
1999-07-23,25.6214,25.1149,28.3614,24.8347,29.9407,24.0296,29.3139,24.7184,19.3079
1999-07-26,28.2556,27.3347,30.0504,25.5948,31.1769,24.5041,30.5052,25.7213,19.7755
1999-07-27,27.4419,26.1202,29.4391,25.0983,30.6799,24.3242,29.9164,25.337,21.3479
1999-07-28,26.3391,25.02,27.9473,24.7185,29.585,23.8708,29.3763,25.002,21.1691
1999-07-29,28.0028,25.9664,29.9943,24.7359,31.085,23.9286,30.238,25.3072,21.2837
1999-07-30,26.896,25.2972,28.2076,24.5728,30.4837,24.0169,29.8741,25.1877,21.3368
1999-08-02,28.0655,26.4761,28.8283,25.073,30.2922,24.1084,30.0992,25.1581,21.5979
1999-08-03,28.8511,26.8135,29.6619,25.1925,30.9276,24.1348,30.2271,25.2605,21.6165
1999-08-04,29.6537,26.929,30.5467,25.1379,30.7266,23.9594,30.1732,25.3233,21.613
1999-08-05,32.8816,30.2078,33.6163,25.4243,32.4678,24.1624,31.3644,25.4972,21.5609
